target,text
0,Haf u found him? I feel so stupid da v cam was working.
0,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
0,Wot is u up 2 then bitch?
0,We can go 4 e normal pilates after our intro...  
0,K. I will sent it again
0,:) 
0,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
0,No..few hours before.went to hair cut .
0,Wat r u doing now?
0,Loosu go to hospital. De dont let it careless.
0,NO GIFTS!! You trying to get me to throw myself off a cliff or something?
0,"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?"
0,C movie is juz last minute decision mah. Juz watch 2 lar but i tot Ì_ not interested.
0,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
0,Ok that's great thanx a lot.
0,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
0,Jus ans me lar. U'll noe later.
0,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter"
0,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.
0,Tell them u have a headache and just want to use 1 hour of sick time.
0,\Hey j! r u feeling any better
0,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..
0,Dear we got  &lt;#&gt;  dollars hi hi
0,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
0,Ok set let u noe e details later...
0,I cant pick the phone right now. Pls send a message
0,Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?
0,Huh means computational science... Y they like dat one push here n there...
0,Good Morning plz call me sir
0,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.
0,Now am free call me pa.
0,HI ITS KATE CAN U GIVE ME A RING ASAP XXX
0,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
0,I just really need shit before tomorrow and I know you won't be awake before like 6
0,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
0,The evo. I just had to download flash. Jealous?
0,ÌÏ ready then call me...
0,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
0,"Okay, good, no problem, and thanx!"
0,"Jus chillaxin, what up"
0,Don know..he is watching film in computer..
0,I.ll give her once i have it. Plus she said grinule greet you whenever we speak
0,Ok... Let u noe when i leave my house.
0,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!
0,Also maaaan are you missing out
0,Theyre doing it to lots of places. Only hospitals and medical places are safe.
0,Yup n her fren lor. I'm meeting my fren at 730.
0,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-)
0,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant
0,"Just sent you an email ‰ÛÒ to an address with incomm in it, is that right?"
0,I know complain num only..bettr directly go to bsnl offc nd apply for it..
0,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
0,"Come to mu, we're sorting out our narcotics situation"
0,I cant pick the phone right now. Pls send a message
0,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
0,Thank you. I like you as well...
0,Have you started in skye
0,"Yeah that's what I thought, lemme know if anything's goin on later"
0,Is that seriously how you spell his name?
0,"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe"
0,Wif my family booking tour package.
0,We confirm eating at esplanade?
0,"If e timing can, then i go w u lor..."
0,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm"
0,No one interested. May be some business plan.
0,"that would be good ‰Û_ I'll phone you tomo lunchtime, shall I, to organise something?"
0,"Erm ‰Û_ ill pick you up at about 6.45pm. That'll give enough time to get there, park and that."
0,"I can't, I don't have her number!"
0,How would my ip address test that considering my computer isn't a minecraft server
0,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8
0,How many times i told in the stage all use to laugh. You not listen aha.
0,I will see in half an hour
0,Its  &lt;#&gt; k here oh. Should i send home for sale.
0,After completed degree. There is no use in joining finance.
0,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am
0,yay! finally lol. i missed our cinema trip last week :-(
0,Merry christmas to u too annie!
0,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story)
0,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to"
0,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... "
0,No pic. Please re-send.
0,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?
0,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea"
0,In that case I guess I'll see you at campus lodge
0,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice
0,Ok going to sleep. Hope i can meet her.
0,Gokila is talking with you aha:)
0,When Ì_ login dat time... Dad fetching Ì_ home now?
0,Lol its ok I didn't remember til last nite
0,Bbq this sat at mine from 6ish. Ur welcome 2 come
0,"I don't think I can get away for a trek that long with family in town, sorry"
0,Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)
0,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself"
0,Mm not entirely sure i understood that text but hey. Ho. Which weekend?
0,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already"
0,Yes i will be there. Glad you made it.
0,Surly ill give it to you:-) while coming to review.
0,S but mostly not like that.
0,"I wake up long ago already... Dunno, what other thing?"
0,You said not now. No problem. When you can. Let me know.
0,"Ok, be careful ! Don't text and drive !"
0,"I know where the  &lt;#&gt;  is, I'll be there around 5"
0,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
0,Please dont say like that. Hi hi hi
0,Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.
0,"Im in inperialmusic listening2the weirdest track ever byåÓleafcutter johnåÓ-sounds like insects being molested&someone plumbing,remixed by evil men on acid!"
0,Yup next stop.
0,Dunno y u ask me.
0,Lol they were mad at first but then they woke up and gave in.
0,Most of the tiime when i don't let you hug me it's so i don't break into tears.
0,Great. Have a safe trip. Dont panic surrender all.
0,Then any special there?
0,ÌÏ neva tell me how i noe... I'm not at home in da aft wat... 
0,But i juz remembered i gotta bathe my dog today..
0,Daddy will take good care of you :)
0,No shoot me. I'm in the docs waiting room. :/
0,"Dear, will call Tmorrow.pls accomodate."
0,My uncles in Atlanta. Wish you guys a great semester.
0,Bring home some Wendy =D
0,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs
0,"sorry, no, have got few things to do. may be in pub later."
0,That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.
0,If I get there before you after your ten billion calls and texts so help me god
0,2 and half years i missed your friendship:-)
0,I love you both too :-)
0,What is important is that you prevent dehydration by giving her enough fluids
0,"I dont knw pa, i just drink milk.."
0,Huh so early.. Then Ì_ having dinner outside izzit?
0,Hey you around? I've got enough for a half + the ten I owe you
0,"What's up bruv, hope you had a great break. Do have a rewarding semester."
0,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-)
0,Lol wtf random. Btw is that your lunch break
0,"\Response\"" is one of d powerful weapon 2 occupy a place in others 'HEART'... So"
0,And now electricity just went out fml.
0,"Hurry up, I've been weed-deficient for like three days"
0,At 7 we will go ok na.
0,Good morning pookie pie! Lol hope I didn't wake u up
0,"It's wylie, you in tampa or sarasota?"
0,You know what hook up means right?
0,Simply sitting and watching match in office..
0,I am in bus on the way to calicut
0,"That's good, because I need drugs"
0,Then we gotta do it after that
0,WOT U UP 2 J?
0,So u gonna get deus ex?
0,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
0,"When you just put in the + sign, choose my number and the pin will show. Right?"
0,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend."
0,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.
0,"Just dropped em off, omw back now"
0,"I am real, baby! I want to bring out your inner tigress..."
0,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone"
0,"Aight, we'll head out in a few"
0,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am
0,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
0,Those were my exact intentions
0,S.this will increase the chance of winning.
0,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...
0,Where r we meeting?
0,Fuck cedar key and fuck her (come over anyway tho)
0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."""
0,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
0,You also didnt get na hi hi hi hi hi
0,Hi Princess! Thank you for the pics. You are very pretty. How are you?
0,Pls pls find out from aunt nike.
0,Wewa is 130. Iriver 255. All 128 mb.
0,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it."
0, &lt;#&gt;  in mca. But not conform.
0,"Sorry, I'll call later"
0,I accidentally brought em home in the box
0," came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too."
0,"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta."
0,Some of them told accenture is not confirm. Is it true.
0,That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.
0,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.
0,I am late. I will be there at
0,Arun can u transfr me d amt
0,She's fine. Good to hear from you. How are you my dear? Happy new year oh.
0,Dude we should go sup again
0,Later i guess. I needa do mcat study too.
0,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
0,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo"
0,"Aight, you close by or still down around alex's place?"
0,Okie... Thanx...
0,Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.
0,So how are you really. What are you up to. How's the masters. And so on.
0,Lil fever:) now fine:)
0,When you guys planning on coming over?
0,"Yup. Anything lor, if u dun wan it's ok..."
0,Yup. Wun believe wat? U really neva c e msg i sent shuhui?
0,Hi. Hope you had a good day. Have a better night.
0,The fact that you're cleaning shows you know why i'm upset. Your priority is constantly \what i want to do
0,:-( sad puppy noise
0,Keep my payasam there if rinu brings
0,Yup but it's not giving me problems now so mayb i'll jus leave it...
0,Will Ì_ b going to esplanade fr home?
0,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt"
0,Hi its in durban are you still on this number
0,Yes princess! I want to make you happy...
0,Ugh fuck it I'm resubbing to eve
0,Wait 2 min..stand at bus stop
0,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
0,Wat would u like 4 ur birthday?
0,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola
0,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
0,... Are you in the pub?
0,Where you. What happen
0,Stupid.its not possible
0,Where are you lover ? I need you ...
0,Howz pain.it will come down today.do as i said ystrday.ice and medicine.
0,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
0,How do you guys go to see movies on your side.
0,But i'll b going 2 sch on mon. My sis need 2 take smth.
0,"Dad wanted to talk about the apartment so I got a late start, omw now"
0,"Sorry, I'll call later"
0,No. But we'll do medical missions to nigeria
0,"Jay told me already, will do"
0,I place all ur points on e cultures module already.
0,Re your call; You didn't see my facebook huh?
0,"No, but you told me you were going, before you got drunk!"
0,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
0,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.
0,Hey darlin.. i can pick u up at college if u tell me wen & where 2 mt.. love Pete xx
0,Good morning. At the repair shop--the ONLY reason i'm up at this hour.
0,Anything lor... U decide...
0,"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management"
0,"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park."
0,You getting back any time soon?
0,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?
0,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
0,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng"
0,Ok Chinese food on its way. When I get fat you're paying for my lipo.
0,Dunno lei... I thk mum lazy to go out... I neva ask her yet...
0,"I'm in a meeting, call me later at"
0,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.
0,Draw va?i dont think so:)
0,Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.
0,Lol alright i was thinkin that too haha
0,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe
0,Don no da:)whats you plan?
0,I uploaded mine to Facebook
0,Now thats going to ruin your thesis!
0,You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm
0,No need to buy lunch for me.. I eat maggi mee..
0,A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..:) GOODMORNING &amp; HAVE A SMILEY SUNDAY..:)
0,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ..."
0,Ofcourse I also upload some songs
0,If we win its really no 1 side for long time.
0,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams
0,Lol enjoy role playing much?
0,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.
0,Is xy going 4 e lunch?
0,Unless it's a situation where YOU GO GURL would be more appropriate
0,"Cool, text me when you head out"
0,I'm good. Have you registered to vote?
0,That one week leave i put know that time. Why.
0,I'll be at mu in like  &lt;#&gt;  seconds
0,Thats cool. i am a gentleman and will treat you with dignity and respect.
0,Okie...
0,Pls dont restrict her from eating anythin she likes for the next two days.
0,Shb b ok lor... Thanx...
0,Excellent! Are you ready to moan and scream in ecstasy?
0,"That means you got an A in epi, she.s fine. She.s here now."
0,Anything lor but toa payoh got place 2 walk meh...
0,Wat's da model num of ur phone?
0,DO NOT B LATE LOVE MUM
0,Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?
0,Went fast asleep dear.take care.
0,Yar else i'll thk of all sorts of funny things.
0,"I call you later, don't have network. If urgnt, sms me."
0,No da if you run that it activate the full version da.
0,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
0,Double eviction this week - Spiral and Michael and good riddance to them!
0,"\CHEERS FOR CALLIN BABE.SOZI CULDNT TALKBUT I WANNATELL U DETAILS LATER WENWECAN CHAT PROPERLY X\"""""
0,When you came to hostel.
0,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
0,I send the print  outs da.
0,S...i will take mokka players only:)
0,In which place i can get rooms cheap:-)
0,Yes..gauti and sehwag out of odi series.
0,Oh ok i didnt know what you meant. Yep i am baby jontin
0,Except theres a chick with huge boobs.
0,Audrie lousy autocorrect
0,Mode men or have you left.
0,"Alright, we're all set here, text the man"
0,Did u find out what time the bus is at coz i need to sort some stuff out.
0,Ok no prob...
0,Sir send to group mail check it.
0,ÌÏ still got lessons?  ÌÏ in sch?
0,I absolutely LOVE South Park! I only recently started watching the office.
0,"Same, I'm at my great aunts anniversary party in tarpon springs"
0,"Ok da, i already planned. I wil pick you."
0,Good morning princess! Happy New Year!
0,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
0,I'll talk to the others and probably just come early tomorrow then
0,Thinkin about someone is all good. No drugs for that
0,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you."
0,What happen dear tell me
0,Thats cool. How was your day?
0,Glad to see your reply.
0,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
0,Yeah confirmed for you staying at  that weekend
0,ok. I am a gentleman and will treat you with dignity and respect.
0,Omg it could snow here tonite!
0,What not under standing.
0,No. I.ll meet you in the library
0,Hi dear we saw dear. We both are happy. Where you my battery is low
0,Pls she needs to dat slowly or she will vomit more.
0,Lol you won't feel bad when I use her money to take you out to a steak dinner =D
0,Back in brum! Thanks for putting us up and keeping us all and happy. See you soon 
0,Sorry da. I gone mad so many pending works what to do.
0,Can you open the door?
0,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...
0,Sorry. || mail? || 
0,Okie
0,Ok. I.ll do you right later.
0,Tell rob to mack his gf in the theater
0,Yupz... I've oredi booked slots 4 my weekends liao... 
0,Nice.nice.how is it working?
0,Alright. I'm out--have a good night!
